productName,productSlug,submittedAt,overallRating,easeOfUse,easeOfSetup,meetsRequirements,qualityOfSupport,reviewTitle,pros,cons,problemsSolved,didSwitchFromCompetitor,previousCompetitors,whySwitched,reviewerRole,reviewerIndustry,companySize,reviewerCountry,isIncentivized,reviewUrl,reviewId
Slack,slack,2026-06-19T05:28:49+00:00,5,7,7,7,7,Declutters Team Communication with Organized Channels and Focused Threads,"What I like best about Slack is how effectively it declutters our daily internal communication. Moving conversations out of messy, endless email chains and into organized, topic-specific channels makes finding past information so much faster. It keeps the whole team aligned, and the threaded replies keep discussions focused instead of chaotic.","The biggest downside to Slack is the sheer volume of notifications, which can easily lead to digital fatigue. Because it operates as a real-time chat platform, there is often an unspoken pressure to respond instantly. If you don't aggressively manage your status and notification settings, it can quickly morph from a productivity tool into a constant source of daily distraction.""","Slack solves the problem of internal communication silos, which is especially tough for a distributed team. Before using it, vital project updates were frequently trapped in isolated 1-on-1 email chains. Moving our daily discussions into dedicated channels has broken down those barriers. The biggest benefit is absolute transparency—everyone knows exactly where a project stands, and cross-department collaboration is faster than ever.",False,,,User,Accounting,Mid-Market,Sri Lanka,False,https://www.g2.com/products/slack/reviews/slack-review-12975407,12975407
Slack,slack,2026-06-19T04:47:28+00:00,5,7,7,7,,Slack Keeps Team Communication Focused with Channels and Quick Huddles,"What I like best about Slack is how effectively it centralizes team communication and reduces our reliance on cluttered email threads. The ability to organize conversations into dedicated, topic-specific channels ensures that project discussions remain focused and easily searchable. Features like 'Huddles' make it incredibly easy to jump into quick, spontaneous voice or video calls without the friction of scheduling a formal meeting, which significantly speeds up our daily decision-making process.","The volume of notifications can become incredibly overwhelming, especially in larger organizations or active channels. If you are away from your desk for even a short period, it's easy to get buried under a mountain of unread messages and lose track of actual action items. While the notification settings are highly customizable, fine-tuning them takes a lot of manual effort to keep the noise level manageable and protect deep-work focus blocks.","Before using Slack, our internal and external communication was scattered across endless email threads and disjointed messaging apps, causing critical updates to get lost. Slack has solved this by centralizing all our team conversations into structured, searchable channels. A major benefit is Slack Connect, which allows us to bring external clients, partners, and vendors directly into our workspace. This has completely eliminated the friction of back-and-forth emails, allowing us to share deliverables, get instant feedback, and align on projects with our clients in real time",False,,,Internal Consultant,Retail,Mid-Market,India,True,https://www.g2.com/products/slack/reviews/slack-review-12980334,12980334
Slack,slack,2026-06-18T16:00:26+00:00,5,7,6,5,,"Easy, Well-Organized Conversations Across Departments",The ease and organization of conversations throughout our different departments,"Constant notifications, not super self explanatory/easy to turn notifications off when im in a meeting",Inter department communication. We are a warehouse/manufacturer so being able to easily communicate with someone on the other side of the building has sped up problem solving,True,Google Workspace,needed more people to be able to use slack and easier communication,User,Apparel & Fashion,Mid-Market,United States,False,https://www.g2.com/products/slack/reviews/slack-review-12977823,12977823
Slack,slack,2026-06-18T14:20:28+00:00,5,7,7,7,7,Powerful Communication Tool to Discuss Projects in Channels Across Platforms,Powerful tool for communication that provides both Direct Messages and Channels which is helpful for ensuring communication reaches the right people and it supports seamless integrations that elevate the visibility of tasks from different connected tools.,I don’t really see any drawbacks it addresses our communication needs and provides a smooth user experience.,It helps chat with coworkers across all platforms and makes it easy to split conversations into channels to keep project discussions more organized which improves alignment across teams.,False,,,User,Retail,Mid-Market,United States,True,https://www.g2.com/products/slack/reviews/slack-review-12977232,12977232
Slack,slack,2026-06-18T14:05:38+00:00,5,3,3,,,Everything in One Place for Smooth Collaboration,Everything in one place and the channels are very helpful to collaborate,Needing to know shortcuts to add in certain emoticons or gifs. It’s very developer focused and not an easy UI for users.,Communication between the developers and product teams to allow collaboration,False,,,User,Broadcast Media,Enterprise,United Kingdom,False,https://www.g2.com/products/slack/reviews/slack-review-12977220,12977220
Slack,slack,2026-06-18T13:44:37+00:00,5,7,,,,Slack helps my teams supercharge their productivity thanks to integrations,The integrations allowing to supercharge productivity,The ai huddle notes are a bit hit and miss and would be great to customise speech correction,Communication and productivity,False,,,User,Information Technology and Services,Mid-Market,United Kingdom,False,https://www.g2.com/products/slack/reviews/slack-review-12976984,12976984
Slack,slack,2026-06-18T13:31:24+00:00,5,6,,,,"Slack Keeps Cross-Functional Collaboration Fast, Transparent, and Organised",,,,False,,,,Telecommunications,Enterprise,United Kingdom,False,https://www.g2.com/products/slack/reviews/slack-review-12976978,12976978
Slack,slack,2026-06-18T10:52:04+00:00,5,7,,6,,Fantastic Slack Search Engine with Seamless App Integrations,Fantastic Search engine for everything within Slack. I also like the fact it can integrate iwth a number of different applications.,Slack could do better with Project Management. At the moment we would need to use an external application.,"AI Agents will be a great addition and Slack are investing in this. We will be able to create concise overviews of all messages, making it quicker to review all channels and direct messages.",False,,,User,Construction,SMB,United Kingdom,True,https://www.g2.com/products/slack/reviews/slack-review-12976144,12976144
Slack,slack,2026-06-17T22:14:51+00:00,5,,,,,Streamlines Team Communication with Intuitive Integrations,"I use Slack as a central communication and collaboration platform, and I really appreciate its ability to keep communication organized, efficient, and easy to access. The channel-based structure is great for separating discussions by team, project, or topic, which really streamlines collaboration and reduces unnecessary email traffic. I find the user interface intuitive and easy to navigate. I also like how integrations with tools like Google Workspace, Microsoft 365, GitHub, Jira, and Zoom help centralize workflows and improve productivity. Slack offers reliable performance, powerful search functionality, and flexible notification settings that make it simple to stay informed, find important information quickly, and collaborate effectively. The initial setup was very easy, and the intuitive interface made it straightforward to implement with minimal training. Overall, Slack significantly boosts productivity and team coordination, offering strong support for remote and hybrid teams.","One area where Slack could be improved is notification management, as highly active workspaces can generate a large volume of messages that make it difficult to prioritize important updates. Information can also become buried across channels and threads, making it harder to locate key discussions or decisions over time despite the platform's strong search functionality. While Slack offers a great collaboration experience and extensive integrations, some advanced features and longer message history are limited to higher-tier plans. Improvements to content organization, search precision, and access to certain premium capabilities would make the platform even more effective for teams of all sizes.","I use Slack to streamline communication, organizing conversations through channels, reducing email reliance, and making information easily accessible. It solves collaboration challenges by integrating tools, managing projects, and offering a central platform for sharing updates and staying connected.",False,,,,,Mid-Market,Colombia,True,https://www.g2.com/products/slack/reviews/slack-review-12974542,12974542
Slack,slack,2026-06-17T19:22:25+00:00,5,7,7,7,7,Slack Brings Teams Together for Seamless Collaboration,"One thing I appreciate about Slack is how it brings different teams together in one place, making collaboration feel more seamless throughout the day.","The volume of notifications can occasionally feel overwhelming, especially during busy workdays",Slack helps solve communication delays by giving teams a central place to collaborate and share information. This benefits me by allowing me to get answers quickly and provide more efficient support to members.,False,,,,Staffing and Recruiting,Mid-Market,United States,False,https://www.g2.com/products/slack/reviews/slack-review-12973715,12973715
